z-sma-7,z-std-7,z-sma-14,z-std-14,z-sma-28,z-std-28,z-sma-54,z-std-54,z-sma-106,z-std-106,z-sma-207,z-std-207,LONGS_SIGNAL,SHORTS_SIGNAL,index,open,close,low,high
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,531.0,42858.56,42859.29,42819.62,42926.58
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,532.0,42859.29,42843.19,42823.74,42930.62
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,533.0,42843.19,42827.71,42824.78,42887.64
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,534.0,42827.72,42836.67,42827.72,42930.65
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,535.0,42836.67,42780.28,42761.12,42863.57
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,536.0,42783.01,42829.19,42759.39,42856.33
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,537.0,42829.19,42832.8,42809.17,42876.95
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,538.0,42832.8,42810.85,42742.96,42847.28
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,539.0,42812.85,42818.55,42714.54,42850.0
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,540.0,42818.79,42795.63,42765.34,42827.86
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,541.0,42793.97,42798.19,42785.0,42814.04
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,542.0,42800.73,42754.21,42750.87,42839.51
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,543.0,42752.41,42780.78,42709.14,42782.36
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,544.0,42778.3,42747.94,42736.09,42811.51
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,545.0,42747.54,42725.25,42716.36,42756.62
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,546.0,42725.25,42693.6,42619.53,42744.55
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,547.0,42693.61,42756.82,42693.01,42769.99
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,548.0,42756.81,42742.54,42692.69,42756.82
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,549.0,42742.54,42706.04,42691.46,42752.92
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,550.0,42701.18,42717.17,42690.74,42780.4
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,551.0,42717.17,42686.11,42664.84,42733.95
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,552.0,42686.11,42681.18,42669.2,42739.8
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,553.0,42681.18,42709.13,42659.24,42715.22
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,554.0,42710.71,42667.58,42660.0,42722.68
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,555.0,42667.58,42708.01,42667.58,42711.33
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,556.0,42710.5,42656.16,42641.62,42748.93
